ni,z0,zi,a,eps,p,f_cross,peak_cross_over_peak_total,throughput,hwhm_x,hwhm_y,ellipticity,energy_total
1.5,-10.0,6.0,3.6831655279934608,0.85,2,0.011995075847103593,0.005863932398039297,0.02010136395409502,0.3219896904361357,0.3503767364082036,0.9189813619960321,7.043130918094235
1.5,-10.0,6.0,3.6831655279934608,0.85,4,0.012227131826707288,0.005956909282381222,0.017733921410440487,0.3206312167769952,0.34913591824335444,0.9183564337643114,4.802529535551112
1.5,-10.0,6.0,3.6831655279934608,0.85,8,0.012724646990416826,0.0061552246826227395,0.013367484258971158,0.31789899603094307,0.3466360451196115,0.9170973431838217,2.3670476947733303
1.5,-10.0,6.0,3.6831655279934608,0.95,0,0.015618256987743639,0.007627587112749037,0.002865827079158434,0.30113354905935236,0.3312449928663224,0.9090961540387061,0.476661549432941
1.5,-10.0,6.0,3.6831655279934608,0.95,2,0.015646130725761997,0.007641277685419744,0.002808748301326364,0.3009941865036049,0.3311200631741974,0.9090182685343844,0.4225161624234738
1.5,-10.0,6.0,3.6831655279934608,0.95,4,0.015674292264000134,0.007655099295557862,0.0027477258386308283,0.30085374245245766,0.3309941482516968,0.908939762353987,0.3751763084344178
1.5,-10.0,6.0,3.6831655279934608,0.95,8,0.01573136837065062,0.007683087106197838,0.002615615354242553,0.30057012687913376,0.3307398242516501,0.9087811773475422,0.29738783017362613
2.2,-10.0,6.0,4.444195556045657,0.0,0,0.007018061464532175,0.002745795962320551,0.1497857986375908,0.4102210358860806,0.4518256371648366,0.9079189008843744,366.91593239190485
2.2,-10.0,6.0,4.444195556045657,0.0,2,0.018836879126891058,0.006822355689760432,0.057092178529132245,0.330313913588123,0.3707644067723794,0.8908997399820803,46.61798600735184
2.2,-10.0,6.0,4.444195556045657,0.0,4,0.02648864794807805,0.010261280808618435,0.032521675744191014,0.3002571623178149,0.3413265189560803,0.8796772171002923,15.933291046956265
2.2,-10.0,6.0,4.444195556045657,0.0,8,0.03525823170506972,0.015115234532752809,0.016043980036642917,0.27427163088203405,0.31680458998402117,0.8657438672080717,4.367049701732763
2.2,-10.0,6.0,4.444195556045657,0.3,0,0.009052323959504888,0.0038078263106984538,0.1268027644642226,0.37737024980754275,0.4161566235619023,0.9067986148522993,282.79422163888563
2.2,-10.0,6.0,4.444195556045657,0.3,2,0.018937448818745015,0.007080186926310658,0.05682227053803504,0.32725330636915995,0.3673770822450559,0.8907831277043795,46.36425323008235
2.2,-10.0,6.0,4.444195556045657,0.3,4,0.02649196412998631,0.010303245179018065,0.032517574451849884,0.29995059387159084,0.3409832788391927,0.8796636447766906,15.931189860159266
2.2,-10.0,6.0,4.444195556045657,0.3,8,0.03525825910276934,0.015115896050240841,0.016043966707572292,0.27426862183630335,0.3168011591756721,0.865743744593486,4.367046072040547
2.2,-10.0,6.0,4.444195556045657,0.5,0,0.013787438875548626,0.006499956741919276,0.09272904489523091,0.33446061467544974,0.372082173227771,0.8988891130527473,170.5243480792607
2.2,-10.0,6.0,4.444195556045657,0.5,2,0.020347926284962493,0.008653014390194341,0.05312668568342697,0.31257867706005876,0.35202339142825007,0.8879485985060428,42.70799355987187
2.2,-10.0,6.0,4.444195556045657,0.5,4,0.026722830325281423,0.010996468681107676,0.032225673292771165,0.2954978633626288,0.3362624534712191,0.8787715081247411,15.773072369025176
2.2,-10.0,6.0,4.444195556045657,0.5,8,0.03526423771174521,0.015200313571677622,0.016040388951660888,0.27391509106955597,0.3164205365818333,0.8656678672900092,4.366056006044042
