model,R,a,a_over_R,ni,z0,zi,qmax,peak_ratio_R_H2_over_H0,energy_ratio_R_H2_over_H0,peak_ratio_L_H1_over_H0,intensity_delta_from_H2
exact,1.0,0.85,0.85,1.5,2.5,5.0,563.9097744360902,0.0013781123780697703,1.2573159958737058e-05,0.0017303611767624716,0.002006453966608996
paraxial,1.2,0.84,0.7,1.8,5.0,10.0,406.01503759398497,0.0013655866398399996,1.262408435072808e-05,0.0017096701834583236,0.002002956303618149
paraxial,1.0,0.7,0.7,1.5,5.0,10.0,281.9548872180451,0.0013551703454547839,1.239505020074121e-05,0.0016964810697397035,0.001981583611703274
exact,1.2,0.84,0.7,1.5,2.5,5.0,676.6917293233082,0.00135285873620897,1.2135825484128156e-05,0.001698931508018266,0.001971819621937821
paraxial,0.8,0.68,0.85,1.5,5.0,10.0,225.56390977443607,0.0012753372518734755,1.0956756373738539e-05,0.0015966641119200395,0.00186156925648895
paraxial,1.0,0.85,0.85,2.0,5.0,10.0,375.9398496240602,0.001195219246757004,9.667494991424945e-06,0.0014963447619971055,0.0017535384882544033
exact,1.6,1.52,0.95,1.8,5.0,10.0,541.3533834586467,0.0011770884226152511,9.275623924732395e-06,0.0014765251598434586,0.001725877200464881
exact,0.8,0.76,0.95,1.8,2.5,5.0,541.3533834586467,0.001177249166506974,9.258294395046034e-06,0.0014764438778683666,0.0017230244996298176
paraxial,1.2,0.84,0.7,2.0,5.0,10.0,451.1278195488722,0.0011703175085495366,9.278789891009868e-06,0.0014653531781522464,0.0017189542734681435
exact,1.6,1.52,0.95,1.5,5.0,10.0,451.12781954887214,0.0011356466540330987,8.57821769977359e-06,0.00142488180776015,0.0016579704949896586
exact,0.8,0.76,0.95,1.5,2.5,5.0,451.12781954887214,0.0011355950771258334,8.561381505623655e-06,0.0014252062404390845,0.001654894127471975
paraxial,0.8,0.76,0.95,1.8,5.0,10.0,270.67669172932335,0.001119129576714531,8.454933593801407e-06,0.0014009272213573044,0.0016377853340370273
exact,1.0,0.7,0.7,1.8,2.5,5.0,676.6917293233083,0.0010100865547816185,6.831320671959437e-06,0.001266146093399208,0.0014802280729005514
exact,1.0,0.7,0.7,1.5,2.5,5.0,563.9097744360902,0.0009789009831414654,6.382245380896316e-06,0.0012280619992516431,0.0014293265743791322
paraxial,0.8,0.76,0.95,2.0,5.0,10.0,300.75187969924815,0.0009591438318227705,6.21590269350447e-06,0.0012008997096101825,0.001405381889689437
exact,1.6,1.36,0.85,1.8,5.0,10.0,541.3533834586467,0.0009542024806771257,6.109858752730627e-06,0.0011963910327498525,0.0014010144098830146
exact,0.8,0.68,0.85,1.8,2.5,5.0,541.3533834586467,0.0009544230467886176,6.097350909515776e-06,0.0011965135713604366,0.0013971655939070027
paraxial,1.0,0.7,0.7,1.8,5.0,10.0,338.34586466165416,0.0009485768744521995,6.080391112409771e-06,0.0011875031120842543,0.0013898560303898415
exact,1.6,1.36,0.85,1.5,5.0,10.0,451.12781954887214,0.0009263448167893966,5.728464086368403e-06,0.001162226106872733,0.0013550905759077024
